Departamento,Provincia,Distrito,Oficina Regional,ID,x,y,Establecimiento Penitenciario,Hacinamiento,Descripción,vinculo,Dirección,Creación data,Creador,OBJECTID,Global,x2,y2
Tacna,Tarata,Ticaco,Altiplano Puno,17,-69.798369,-17.23438835,Challapalca,NO,"Inicia su construcción el 8 de agosto de 1996, apertura sus puertas al año siguiente en 1997. El terreno fue entregado al INPE. Consta de un perímetro de 595.48 m2 y un área de 22,221.56 m2 aproximadamente.",https://www.inpe.gob.pe/region-altiplano/item/1073-e-p-challapalca.html,Carretera Tarata s/n - Challapalca – Tacna,4/23/2021 12:00:00 AM,INPE_2020,1,91fd9243-b01d-4cfe-b395-ed1c7cc8e67a,-69.7983690001292,-17.2343890000523
Puno,San Roman,Juliaca,Altiplano Puno,42,-70.16365814,-15.49214745,Juliaca,SI,"Se encuentra ubicado en el Departamento de Puno, Provincia de San Román. Distrito de Juliaca. Urbanización La Capilla, a una distancia de 5 Km del centro de la ciudad de Juliaca, dentro de una zona Urbano Marginal",https://www.inpe.gob.pe/region-altiplano/item/1066-e-p-juliaca.html,Av.José Santos Chocano Mz""H"" Lote""M4"",4/23/2021 12:00:00 AM,INPE_2020,2,3d6c751b-ffe5-495e-bf7b-fe888db8e84d,-70.1636609995554,-15.4921469997842
Puno,San Roman,San Miguel,Altiplano Puno,44,-70.16365814,-15.36309719,Lampa,SI,"El E.P. de Lampa, se encuentra ubicado a 3,954 m.s.n.m aproximadamente: la topografía del terreno es plana con cercanía a la zona urbana, por lo que de forma acelerada se está poblando alrededor de las instalaciones del Establecimiento Penal.",https://www.inpe.gob.pe/region-altiplano/item/1067-e-p-lampa-mujeres.html,Av. Enrique Torres Belón/Jr.28 de Julio,4/23/2021 12:00:00 AM,INPE_2020,3,5c4de306-a789-4f96-a4aa-6dc3a086e228,-70.3636179998708,-15.3656999998551
Puno,Puno,Puno,Altiplano Puno,54,-70.03850555,-15.81956387,Puno,NO,"El Establecimiento Penitenciario de Puno, está ubicado en el Centro Poblado menor de Alto Puno, al Noroeste de la ciudad de Puno a 4.002 m.s.n.m. a 08 km. de la zona urbana.",https://www.inpe.gob.pe/region-altiplano/item/1065-e-p-puno.html,Carretera Tiquillaca Km. 5,4/23/2021 12:00:00 AM,INPE_2020,4,5ff01c80-7ad8-4fe4-b8c5-ad98fbba6850,-70.0385029997136,-15.8195639999786
Ayacucho,Huamanga,Andres Avelino Caceres Dorregaray,Centro Huancayo,7,-74.19773102,-13.14844418,Ayacucho,SI,La Construcción del Establecimiento Penitenciario de Ayacucho se inicia en el Año 1995 hasta el año 1997. El Establecimiento Penitenciaria Ayacucho fue inaugurado en el mes de diciembre del año 1997.,https://www.inpe.gob.pe/region-centro/item/15-e-p-ayacucho.html,Caserio Yanamilla – Aeropuerto,4/23/2021 12:00:00 AM,INPE_2020,5,09e10b73-c692-4183-9286-b637c4fda138,-74.1977329997781,-13.1484439998906
Junin,Chanchamayo,Chanchamayo,Centro Huancayo,18,-75.32222748,-11.05399132,Chanchamayo,SI,"El Penal de Chanchamayo está ubicado en la ciudad de Chanchamayo, a riberas del Río Chanchamayo.significando esto un punto crítico, puesto que en temporadas de invierno el río crece.",https://www.inpe.gob.pe/region-centro/item/23-e-p-chanchamayo.html,Calle Las Corvinas s/n - La Merced - Junín.,4/23/2021 12:00:00 AM,INPE_2020,6,913d14cd-2a6f-4f4b-a7a2-ca7cdced2541,-75.3222260002297,-11.0539980003074
Huancavelica,Huancavelica,Ascension,Centro Huancayo,30,-74.97839355,-12.78461361,Huancavelica,SI,Se encuentra ubicado en la Av. San Juan Evangelista N° 409 (Plaza de Ascensión) del Distrito de Ascensión; Provincia y Departamento de Huancavelica.,https://www.inpe.gob.pe/region-centro/item/17-e-p-l-huancavelica.html,Av. San Juan Evangelista S/N.,4/23/2021 12:00:00 AM,INPE_2020,7,a8e817bd-2b05-48f1-ad65-701fb073f848,-74.9784029997986,-12.7846199998131
Junin,Chupaca,Huamancaca Chico,Centro Huancayo,31,-75.24086761,-12.08670521,Huancayo,SI,"El Establecimiento Penitenciario de Huancayo, fue construida en el segundo gobierno del Sr. presidente Arq. Fernando Belaunde Terry.  Pasó a ser administrado por el Personal de Seguridad Penitenciario del INPE el 19 de Julio de 1991.",https://www.inpe.gob.pe/region-centro/item/18-e-p-huancayo.html,Av. 28 de Julio S/N,4/23/2021 12:00:00 AM,INPE_2020,8,46250cb5-5322-4ca7-8831-66c1ad7232cd,-75.2408650002196,-12.0867060002817
Ayacucho,Huanta,Huanta,Centro Huancayo,32,-74.24912262,-12.93553352,Huanta,SI,"El 16 de agosto del 2002, por disposición de la Presidencia del INPE, se retoma el EP Huanta, asumiendo la Seguridad Interna y la Administración General.",https://www.inpe.gob.pe/region-centro/item/19-e-p-huanta.html,Av. Gervacio Santillana N° 914,4/23/2021 12:00:00 AM,INPE_2020,9,86e3c4b0-55c9-437e-8db2-83be3d353c5e,-74.2542960001603,-12.9375899997786
Junin,Jauja,Jauja,Centro Huancayo,40,-75.49711609,-11.77030468,Jauja,NO,"En el año 1950 aproximadamente se construye de material rustico el establecinniento penitenciario mixto de Jauja denominado ""San Luis"".  Posteriornnente el año 2013, se construye el establecimiento penitenciario de mujeres en un área de 950 m2 aproxim",https://www.inpe.gob.pe/region-centro/item/20-e-p-jauja.html,Jirón Alfonso Ugarte N° 1050,4/23/2021 12:00:00 AM,INPE_2020,10,e4811d22-67c8-4509-9b7a-db1058a0acc8,-75.4968889996276,-11.769811999724
